node_index,osm_id,x_meters,y_meters,lon,lat
188,12362108899,692902.7625489569,4796576.582831475,5.378118889964943,43.2973003794636
189,26760500,692982.093243268,4796643.378705326,5.379119499999999,43.29788099999999
190,12362108903,692976.501038721,4796668.976553455,5.379059600417978,43.29811273336264
191,12362108905,692959.080854161,4796635.558752682,5.37883329470824,43.29781654388289
192,12362108909,692858.4216769182,4796624.632240833,5.377589567245941,43.29774403341021
193,12362108911,692842.3668480669,4796595.336192159,5.377381533547955,43.297484573866726
194,1701404063,693077.2224223155,4796781.559746214,5.380339800000001,43.2990998
195,26760502,692942.4824400208,4796826.092412896,5.3786957,43.299534999999985
196,26760503,692935.3513002563,4796860.123486498,5.3786198,43.29984300000001
197,12362108912,692923.3431560489,4796830.109923389,5.378461350167767,43.29957605023671
198,26761392,692904.203872077,4796834.127433881,5.378227,43.29961709999999
199,26760506,692898.8042970881,4796842.999023312,5.3781636,43.299698299999996
200,5008226560,692906.3270787088,4796811.457723725,5.3782452,43.2994126
201,12362108913,692929.0160842419,4796888.302958898,5.378551650262637,43.30009815001885
202,12362108914,692916.39466754,4796852.78051241,5.378383712646214,43.299781794776074
203,12362108915,692869.6472715167,4796835.305426954,5.3778017409371355,43.29963655285095
204,26760504,692744.0929899787,4796782.685846696,5.376236699999999,43.299195299999994
205,12362108916,692732.5510513398,4796809.178465577,5.3761038125815,43.29943660554442
206,26760505,692841.5978624085,4796823.830419476,5.3774522000000005,43.2995405
207,12362108918,692838.9579453367,4796847.263475348,5.377427900136566,43.29975200000838
208,12362108920,692817.2315539018,4796813.520627144,5.377148437528418,43.29945398593798
209,26760507,693011.0383829795,4796891.101318732,5.379562999999999,43.300102299999985
210,12362108923,692985.809355405,4796880.775374654,5.379248599141142,43.30001586755375
211,26760508,693049.0022436609,4796906.63289992,5.3800361,43.30023229999998
212,12362108925,693030.0203133202,4796898.867109327,5.379799549757031,43.30016730025108
213,12362108926,693054.4495922356,4796881.268013807,5.380094295016014,43.30000269931307
214,423289366,693059.8977775024,4796855.903307337,5.3801524999999994,43.299773099999996
215,12362108927,693083.2449114774,4796859.215394276,5.380441256145915,43.29979691017311
216,26760511,693072.8723899694,4796795.751883377,5.3802912,43.29922859999999
217,12362108928,693047.350593627,4796801.671192504,5.379978900323838,43.2992884004198
218,12362108929,693066.3850837359,4796825.827595357,5.380221850283865,43.29950085001969
219,26760513,693021.8287972846,4796807.590501632,5.379666599999999,43.29934819999999
220,12362108930,692995.38001153,4796813.757805387,5.37934296736532,43.29941046756827
221,12362108932,693018.2319925162,4796835.427440665,5.379632066906281,43.299599566680534
222,12362108934,692878.7503588707,4796681.349328526,5.377859866083904,43.298249100546144
223,12362108936,692856.2084570928,4796696.81685919,5.377587623645585,43.29839403482167
224,4256938763,693113.6583686464,4796842.152874805,5.3808099,43.299635599999995
225,423289368,693106.5907781096,4796862.536380311,5.38073,43.299820800000006
226,4256938761,693115.6602661388,4796857.926605141,5.3808400999999995,43.29977699999999
227,12362108938,693116.101536361,4796820.954963449,5.380832549573594,43.29944425923413
228,3372144658,693076.094004498,4796794.943408116,5.3803306,43.2992205
229,26761385,693074.5671089857,4796674.790970385,5.380269599999999,43.298139899999995
230,12362108939,693065.3924084246,4796701.883504525,5.380166100795991,43.29838600008381
231,12362108941,693051.4490088926,4796666.9368256675,5.379982078261286,43.298075166311015
232,12362108944,693099.8598235023,4796771.951883832,5.380615272973245,43.299007553219234
233,26761390,692918.2482361327,4796699.035559511,5.3783525999999995,43.298398100000014
234,12362108945,692941.7824328798,4796709.603904612,5.378646199584878,43.29848715038785
235,26761395,692850.6168276304,4796745.4374958975,5.3775357999999995,43.29883290000001
236,12362108946,692871.2570016447,4796748.729958517,5.377791199820799,43.298857233909
237,12362108948,692847.6105058898,4796771.568470424,5.377507933509125,43.29906876667733
238,5008226561,692909.3317257637,4796784.633878879,5.3782728,43.2991705
239,26761393,692912.5373496732,4796755.314883755,5.378301999999999,43.2989059
240,12362108950,692934.6613841805,4796758.668306564,5.378575699904211,43.298930400330384
241,12362108951,692915.3927929029,4796727.175221633,5.378327300082226,43.29865200000551
242,308852641,692653.4483862342,4796779.162022503,5.3751189,43.2991868
243,12362108952,692627.4189303629,4796780.82961811,5.374798851874476,43.29920846419082
244,26761398,692575.3745059816,4796784.355298475,5.374158999999998,43.29925349999999
245,12362108954,692573.3181200234,4796755.880677571,5.374123696092827,43.298997843475426
246,12362108955,692578.5013658886,4796805.155019969,5.374204802247327,43.29943983254634
247,12362108956,692553.1611247486,4796785.849656554,5.373885897129634,43.29927262682097
248,308852586,692570.9696475641,4796727.421435263,5.3740848,43.298742399999995
249,12362108959,692548.2697736243,4796724.063893896,5.373804007658316,43.29871799908414
250,12362108962,692595.0154677411,4796729.589920984,5.374381755369603,43.29875575809171
251,12362108967,692570.0912516351,4796702.668765284,5.374065310728461,43.2985199280125
252,12362108969,692573.3181200234,4796755.880677571,5.374123696092827,43.298997843475426
253,26779398,692581.6685997107,4796825.948657867,5.3742511,43.29962609999999
254,12362108970,692604.6898960576,4796821.019380185,5.3745329530141,43.29957586203164
255,12362108973,692578.5013658886,4796805.155019969,5.374204802247327,43.29943983254634
256,26779400,692876.0686065278,4797079.756890928,5.377966599999999,43.30183419999999
257,26779401,692887.5526188703,4797081.562274976,5.378108699999999,43.301847499999994
258,12362108974,692879.3376703417,4797051.0157463,5.377996786322944,43.30157478270557
259,12362108976,692909.4530858387,4797085.177097006,5.378379750801307,43.301874409538264
260,26779403,692887.2088909516,4796984.185016377,5.378070300000001,43.300971499999996
261,12362108979,692860.5685436317,4796986.639801351,5.377742994890264,43.301000411386596
262,12362108982,692890.0460915469,4796959.299865992,5.378096518663736,43.30074688511307
263,12362108984,692868.2486170761,4796965.969250692,5.377830349531124,43.30081247382847
264,26781727,692965.8666815571,4797057.584130033,5.379065,43.30161169999999
265,12362108986,692970.9131797396,4797037.59863466,5.37912015015259,43.30143060001209
266,12362108987,692945.5807349647,4797038.673275793,5.378808470207614,43.3014467622632
267,26781735,692975.9596779221,4797017.613139288,5.379175300000001,43.3012495
268,12362108989,692983.9627648486,4796990.478937109,5.379264360580254,43.30100332621302
269,12362108991,692718.4504790292,4796949.003356327,5.37597913299722,43.30069820064936
270,26781767,692783.9527695124,4796966.36188754,5.3767921,43.300837599999994
271,12362108993,692762.1103725778,4796960.266046651,5.376520899794168,43.30078835032712
272,12362108994,692788.500134481,4796940.052821912,5.376838890399531,43.300599736540214
273,33781250,693659.9941927799,4796622.702649174,5.3874624,43.2975209
274,12362108996,693668.7944261832,4796649.497674206,5.387580235376546,43.29775970532708
275,33781765,693686.49250526,4796703.055444973,5.387817099999999,43.298236999999986
276,445479917,693696.3903026198,4796733.660445932,5.3879497999999995,43.2985098
277,33781251,693636.7560784318,4796549.545741526,5.3871503999999995,43.2968687
278,12362108998,693644.5033559364,4796573.930984041,5.3872544143559145,43.29708609626185
279,33781252,693611.8511279561,4796474.1849847725,5.3868171,43.29619709999999
280,33781779,693617.0274059721,4796491.061125817,5.386886800000001,43.2963476
281,12362109000,693626.8904419189,4796520.303872601,5.387018583553929,43.29660815437809
282,12362109001,693598.4458430653,4796497.9310849095,5.386660342488237,43.29641418611786
283,33781331,693711.5034121996,4796782.309918452,5.388153099999999,43.298943599999994
284,12362109002,693720.3257216394,4796809.160594408,5.388271232585714,43.299182899430065
285,12362109004,693686.6894222185,4796782.935124349,5.387847664174488,43.298955609671715
286,954370048,693737.4210891527,4796863.04654694,5.3885008,43.29966329999999
287,12362109008,693743.8175168751,4796883.058931123,5.388586643508115,43.299841700748345
288,33781780,693587.4599172438,4796786.443704826,5.386626599999999,43.299012699999984
289,12362109010,693561.8451566043,4796787.358315945,5.386311401399407,43.29902751522576
290,12362109011,693612.2672934874,4796785.566559707,5.386931866311817,43.298998428636075
291,12362109015,693586.9961621625,4796758.624496597,5.386611092738726,43.29876253560251
292,33781348,693782.9755061237,4796936.697991656,5.3890879,43.3003142
293,12362108611,693755.3894662838,4796923.104122902,5.3887433,43.30019899999999
294,12362109016,693805.1764312686,4796947.551564274,5.389365200472798,43.30040613158727
295,33781430,693961.5737846864,4797021.450497846,5.3913178,43.30103069999999
296,12362109023,693951.6205961828,4797049.726725049,5.391205169370871,43.30128765902908
297,12362109024,693983.0270660648,4797031.974500318,5.39158578091571,43.30111985361827
298,12362109028,693939.1727215071,4797011.016252099,5.391038176478745,43.30094259744439
299,12362109035,693731.9238074162,4796911.5579913,5.388450178170779,43.30010116155108
300,12362109039,693738.634745373,4796947.370964977,5.388545464337093,43.30042163576391
301,4081232532,693332.5051754231,4796781.372899286,5.3834843,43.29903259999999
302,12362109040,693333.4353376209,4796804.433535708,5.383503866502724,43.2992398333467
303,12362109042,693309.2052900422,4796781.949446521,5.383197495824987,43.29904377064559
304,1281893689,693507.6899262348,4796800.936700102,5.385649099999999,43.29916360000001
305,12362109044,693500.544486213,4796819.560824279,5.385567637264085,43.29933299424746
306,423373234,693482.5141607132,4796725.101843966,5.385312299999999,43.2984878
307,12362109047,693502.325769116,4796752.705264606,5.385566050277118,43.29873105030304
308,423373233,693536.230278357,4796788.2696352275,5.3859962,43.2990423
309,12362109048,693561.8451566043,4796787.358315945,5.386311401399407,43.29902751522576
310,33781350,693313.6908770563,4796703.308422635,5.3832251,43.2983351
311,12362109049,693335.2200009567,4796714.069940931,5.383494075624702,43.29842639059902
312,33781355,693232.2824431815,4796854.895236322,5.3822756,43.2997198
313,12362109051,693233.6106081983,4796877.200260501,5.382299799812158,43.29992013334863
314,12362109053,693252.5116929745,4796854.366525466,5.3825246000525615,43.29970985027032
315,12362109054,693285.9056709105,4796782.536911207,5.382910698630818,43.29905503872778
316,33781359,693236.2669382319,4796921.810308861,5.382348199999998,43.300320799999994
317,12362109056,693237.2079011383,4796944.560079336,5.382367787038472,43.30052523400246
318,12362109058,693207.4483499674,4796929.618940784,5.381995950333179,43.30039845020068
319,33781356,693272.7409427674,4796853.83781461,5.3827736,43.2996999
320,12362109059,693293.5925158504,4796852.743479257,5.383030066819766,43.29968470057259
321,12362109061,693269.3615667922,4796830.207137918,5.382723665838913,43.29948816676037
322,33781357,693335.2956620166,4796850.5548085505,5.383543000000001,43.2996543
323,12362109063,693336.304441301,4796872.333010435,5.383563084443291,43.29984997529335
324,33781362,693336.9907983481,4796894.118616726,5.383579199999999,43.3000458
325,12362109064,693309.682634148,4796901.475358786,5.383245400420369,43.300119000478496
326,12362109065,693320.5911207072,4796915.528461206,5.383384714452791,43.300242632210235
327,12362109066,693362.0122422198,4796905.31605964,5.3838913560847645,43.300140114414255
328,3372144661,693177.6556063553,4796856.315687884,5.3816032,43.29974659999999
329,12362109067,693204.9690247683,4796855.605462102,5.381939400095625,43.29973320049281
330,12362109068,693178.1227617903,4796832.9429784985,5.381600742313128,43.299536199950765
331,4256938771,693100.5787725628,4796925.620574625,5.3806781,43.3003899
332,12362109070,693074.6967318517,4796916.453500367,5.380356059197452,43.300314064346395
333,12362109071,693101.3213601919,4796904.589367524,5.380679860611156,43.30020049532043
334,33781360,693268.1069977606,4796912.670874382,5.3827372,43.30023039999999
335,33781361,693282.374469948,4796908.832100847,5.3829116,43.300192200000005
336,12362109073,693277.5577063577,4796881.334957728,5.382842599700404,43.29994605003224
